Event	ID	Name			Wwise Object Path	Notes
	164866881	EngineStart			\Player\Player_Ship\Player_Engine\EngineStart	
	528278262	Pause_Game			\UI\UI\Pause_Game	
	612075679	CheckPoint			\Player\UI\CheckPoint	
	619787537	Gen_Explosion			\Gates\Generators\Gen_Explosion	
	1010055213	Enemy_Hit			\Enemies\Enemy_Hit\Enemy_Hit	
	1050776119	Enemy_Shoot			\Enemies\Enemy_Gun\Enemy_Shoot	
	1077076726	Enemy_Engine_Start_Big			\Enemies\Enemy_Engine\Enemy_Engine_Start_Big	
	1151086808	Acc			\Player\Player_Ship\Player_Engine\Acc	
	1565052233	Resume_Game			\UI\UI\Resume_Game	
	1652732926	Player_Explosion			\Player\Player_Ship\Player_Damage\Player_Explosion	
	1701177942	Button_Hover			\Menu\Menu\Button_Hover	
	1763999390	Damage_Taken			\Player\Player_Ship\Player_Damage\Damage_Taken	
	1772735026	Gen_Idle			\Gates\Generators\Gen_Idle	
	2042178597	Stop_Auto			\Player\Player_Ship\Player_Gun\Stop_Auto	
	2088053380	PickUp_PowerUp			\Player\UI\PickUp_PowerUp	
	2170925251	Enemy_Destroyed			\Enemies\Enemy_Engine\Enemy_Destroyed	
	2698747613	Button_Press			\Menu\Menu\Button_Press	
	2837384057	Stop_Music			\Music\Music\Stop_Music	
	2905743724	Slider_ChangeValue			\Menu\Menu\Slider_ChangeValue	
	2932040671	Play_Music			\Music\Music\Play_Music	
	2952350905	Enemy_Engine_Start_Small			\Enemies\Enemy_Engine\Enemy_Engine_Start_Small	
	3038207054	Shoot			\Player\Player_Ship\Player_Gun\Shoot	
	3083087645	Player_Death			\Player\Player_Ship\Player_Damage\Player_Death	
	3717217436	PickUp_Fuel			\Player\UI\PickUp_Fuel	
	3808032123	Start_Auto			\Player\Player_Ship\Player_Gun\Start_Auto	

Game Parameter	ID	Name			Wwise Object Path	Notes
	640949982	Speed			\Player_Engine\Speed	
	779278001	Death			\Player_Engine\Death	
	988953028	SFXVolume			\Options\SFXVolume	
	1205999388	Enemy_Death			\Enemy\Enemy_Death	
	1252186741	AutoMode			\Player_Gun\AutoMode	
	1843561328	MainVolume			\Options\MainVolume	
	2968795556	Glide			\Player_Engine\Glide	

Audio Bus	ID	Name			Wwise Object Path	Notes
	213475909	SFX_Bus			\Default Work Unit\Master Audio Bus\SFX_Bus	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	671700957	Rev_Tube			\Default Work Unit\Master Audio Bus\SFX_Bus\Rev_Tube	

Effect plug-ins	ID	Name	Type				Notes
	2995775460	Room_Small	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	13056317	Pad_PickUpTex_1	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Pad_PickUpTex_2_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\PickUp_Tex\Pad_PickUpTex_1		414096
	39490669	Button_Press	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Button_Press_10C4C929.wem		\Actor-Mixer Hierarchy\Menu\Menu\Button_Press		60096
	42552773	MetalRuttle_50ms	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\MetalRuttle_50ms_C33A8915.wem		\Actor-Mixer Hierarchy\Player\Player_Ship\Player_Engine\Player_Engine\E_50ms\MetalRuttle_50ms		921744
	87918571	Generator_Explosion_Hi_1	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Generator_Explosion_Hi_1_10C4C929.wem		\Actor-Mixer Hierarchy\Gates\Generator\Explosion\Exp_Hi\Generator_Explosion_Hi_1		72096
	96438833	Pad_PickUpTex_1	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Pad_PickUpTex_3_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\PickUp_Tex\Pad_PickUpTex_1		360096
	98268633	4c_100ms	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\4c_100ms_D79FB2B7.wem		\Actor-Mixer Hierarchy\Enemies\Enemy_Engine\Enemy_Engine_Big\4c_100ms		921696
	110667659	Explosion_2	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Explosion_2_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Enemy_Damage\E_Explosion\Explosion_2		96096
	160425296	Power_Up	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Power_Up_10C4C929.wem		\Actor-Mixer Hierarchy\Player\UI\Power_Up		48096
	164484363	Generator_Explosion_Air_3	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Generator_Explosion_Air_3_10C4C929.wem		\Actor-Mixer Hierarchy\Gates\Generator\Explosion\Exp_Air\Generator_Explosion_Air_3		96096
	169955327	Generator_Explosion_Hi_3	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Generator_Explosion_Hi_3_10C4C929.wem		\Actor-Mixer Hierarchy\Gates\Generator\Explosion\Exp_Hi\Generator_Explosion_Hi_3		72096
	191878459	MetalRuttle_50ms	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\MetalRuttle_50ms_033908F3.wem		\Actor-Mixer Hierarchy\Enemies\Enemy_Engine\Enemy_Engine_Small\MetalRuttle_50ms		921744
	228206684	Enemy_Shooting	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Shooting_10C4C929.wem		\Actor-Mixer Hierarchy\Enemies\Enemy_Gun\Enemy_Shooting		21096
	249387919	Pad_Long	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Pad_Long_D79FB2B7.wem		\Interactive Music Hierarchy\Default Work Unit\Basic_Music\Pad_Core\Pad_Long		2448096
	289646352	4c_50ms	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\4c_50ms_CF3D4EE9.wem		\Actor-Mixer Hierarchy\Player\Player_Ship\Player_Engine\Player_Engine\E_50ms\4c_50ms		921744
	291376722	Generator_Explosion_Mid_2	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Generator_Explosion_Mid_2_10C4C929.wem		\Actor-Mixer Hierarchy\Gates\Generator\Explosion\Exp_Mid\Generator_Explosion_Mid_2		72096
	300107268	EngineRuttle_50ms	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\EngineRuttle_50ms_66498DF5.wem		\Actor-Mixer Hierarchy\Enemies\Enemy_Engine\Enemy_Engine_Small\EngineRuttle_50ms		921744
	317170420	Air_50ms	C:\PROGRAMER_BOOTH\PROJECTS\SpaceBreakout2\SpaceBreakout2_WwiseProject\.cache\Windows\SFX\Air_50ms_55193FF2.wem		\Actor-Mixer Hierarchy\Player\Player_Ship\Player_Engine\Player_Engine\E_50ms\Air_50ms		921744
